PlayerId,Position,Height,Weight,CollegeAwards,FG%,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,StartRatio,G,GS,MP,FG,FGA,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,OWS,DWS,WS,WS/40,PER,OBPM,DBPM,BPM,playerId,isAllStar
popeye-jones-1,Forward,203,113,2,,0.547,0.502,0.053,0.39,,,,,,,,13.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,popeye-jones-1,0
ricky-davis-1,Forward,198,88,0,0.466,0.537,0.504,0.245,0.34800000000000003,,,,,,,,,,,31.0,,,,,,,0.518,,,0.308,,,0.6980000000000001,,,,,,,,1.8,1.5,3.3,,,,,,ricky-davis-1,0
vitaly-potapenko-1,Center,208,127,2,0.603,0.639,0.604,0.009000000000000001,0.593,,,,,,,,21.2,,,56.0,,1707.0,9.6,15.9,9.6,15.8,0.607,0.0,0.1,0.167,6.8,9.4,0.725,9.0,1.8,0.7000000000000001,1.3,5.5,4.9,26.1,4.0,1.2,5.2,0.123,,,,,vitaly-potapenko-1,0
muggsy-bogues-1,Guard,160,61,3,,0.53,,0.097,0.293,,,,,,,,24.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,muggsy-bogues-1,0
justin-jackson-4,Forward,203,87,12,0.46,0.546,0.523,0.37,0.241,1537.0,5.9,9.3,7.6,15.8,1.3,1.4,9.8,22.5,0.9661016949000001,118.0,114.0,3430.0,7.3,15.8,5.3,9.9,0.531,2.0,5.8,0.34,2.7,3.8,0.712,5.6,3.6,0.9,0.5,1.9,2.1,19.2,10.0,4.1,14.1,0.164,19.4,6.3,2.2,8.5,justin-jackson-4,0
darius-songaila-1,Forward,206,112,4,0.511,0.591,0.516,0.028,0.556,,,,,,,,18.6,,0.48461538460000003,130.0,63.0,3401.0,7.5,14.6,7.3,14.2,0.516,0.1,0.4,0.343,6.8,8.1,0.8310000000000001,9.6,2.7,1.7000000000000002,1.1,4.2,5.1,21.9,11.3,8.0,19.3,0.227,,,,,darius-songaila-1,0
james-worthy-1,Forward,206,102,10,,0.5660000000000001,,,0.426,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,james-worthy-1,0
james-worthy-1,Forward,206,102,10,,0.5660000000000001,,,0.426,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,james-worthy-1,1
reggie-lewis-1,Forward,201,88,3,,0.548,,0.043000000000000003,0.373,,,,,,,,11.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reggie-lewis-1,0
reggie-lewis-1,Forward,201,88,3,,0.548,,0.043000000000000003,0.373,,,,,,,,11.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reggie-lewis-1,1
demarco-johnson-1,Forward,206,111,4,0.492,0.553,0.503,0.075,0.443,,,,,,,,11.3,,,119.0,,2496.0,11.8,24.0,11.3,22.2,0.507,0.5,1.8,0.304,8.0,10.6,0.748,14.8,2.2,2.1,1.0,2.5,3.7,32.1,8.6,8.0,16.6,0.164,,,,,demarco-johnson-1,0
josh-childress-1,Forward,203,95,5,0.438,0.532,0.497,0.352,0.278,,,,13.4,12.8,,2.7,13.1,22.7,0.6627906977,86.0,57.0,2458.0,6.3,14.3,4.6,9.3,0.494,1.7000000000000002,5.0,0.335,3.0,4.0,0.755,9.5,2.5,1.3,1.5,2.4,3.0,17.3,3.9,7.2,11.2,0.182,,,,,josh-childress-1,0
tj-warren-1,Forward,203,105,6,0.555,0.593,0.579,0.15,0.313,1155.0,10.3,11.0,10.7,7.4,2.9,1.7000000000000002,9.7,28.6,0.7000000000000001,70.0,49.0,2182.0,9.7,17.4,8.9,14.8,0.598,0.8,2.6,0.315,3.6,5.5,0.654,7.3,1.2,1.9,0.7000000000000001,2.1,3.2,23.8,8.1,2.5,10.6,0.194,28.0,7.7,0.7000000000000001,8.4,tj-warren-1,0
phil-pressey-1,Guard,180,79,4,0.395,0.51,0.466,0.405,0.33,1184.0,2.6,9.5,6.1,33.9,3.9,0.2,22.3,20.5,0.8181818182,99.0,81.0,2943.0,4.4,11.0,2.8,6.6,0.429,1.5,4.5,0.34700000000000003,2.8,3.6,0.757,4.0,7.9,2.7,0.1,3.7,2.7,13.0,5.8,4.2,10.0,0.136,17.7,3.7,1.8,5.5,phil-pressey-1,0
